pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
4xn6,0.67029614,0.024088338,1.276906409,0.006080868,0,6E-05,0,8E-05,63.69254,17.93128,-64.27868,17.04242,-0.58614,2.41064,0,0,66.90982,17.88668,-0.72262,0.33276,-63.55606,17.06002,0,6E-05,0,8E-05,13.51018,4.93404,-16.22852,3.97136,-2.71834,2.39648,0,0,16.72746,4.47166,-0.72262,0.33276,-15.5059,3.979,5836,PRADEEP,-3.21728
5eiw,0.72709166,0.02714729,1.372292302,0.006235312,0,4E-05,0,4E-05,-5.2382,6.37792,4.5188,4.90746,-0.71942,2.58424,0,0,-2.42018,4.66582,-0.59444,0.40712,5.11324,5.17944,0,4E-05,0,4E-05,-3.42306,3.49456,0.6603,1.01818,-2.76278,2.92678,0,0,-0.60504,1.16646,-0.59444,0.40712,1.25472,1.26052,6900,PRADEEP,-2.81804
1sri,1.432770584,0.036504135,1.829491565,0.014809492,0,2E-05,0,4E-05,-5.59,3.5866,4.86918,3.50386,-0.72086,1.36454,0,0,-2.51694,3.10844,-0.57242,0.2402,5.4416,3.69466,0,2E-05,0,4E-05,-3.70234,1.82118,0.74924,0.68862,-2.9531,1.52428,0,0,-0.62922,0.77712,-0.57242,0.2402,1.32168,0.86904,3060,DIVYAK,-3.0731
2o66,1.265706929,0.009401219,4.085630101,0.029208735,0,6E-05,0,2E-05,-269.239,67.84616,262.45678,65.22944,-6.7822,4.54334,0,0,-271.59482,68.38576,-1.06214,0.33176,263.5189,65.44576,0,6E-05,0,2E-05,-65.5429,16.79058,62.25614,15.4259,-3.28676,2.7286,0,0,-67.8987,17.09644,-1.06214,0.33176,63.31828,15.6417,3957,VASAVI,2.35582
5xnz,1.031299849,0.016741767,2.946915053,0.020125579,0,4E-05,0,6E-05,-14.85844,7.49184,14.27078,6.81078,-0.58764,2.35438,0,0,-11.84282,7.60894,-0.97234,0.31674,15.24314,7.05604,0,4E-05,0,6E-05,-5.97636,2.74476,2.66464,1.39844,-3.31172,2.21076,0,0,-2.96072,1.90224,-0.97234,0.31674,3.63694,1.63428,3946,SHRUTI,-3.01564
1sql,0.11958566,0.001245546,2.635183743,0.016079583,0,8E-05,0,4E-05,-15.44622,10.71328,13.98622,9.28746,-1.46002,2.51234,0,0,-12.43698,9.273,-0.76654,0.36044,14.75278,9.56594,0,8E-05,0,4E-05,-6.1185,4.2358,2.75826,1.9904,-3.36026,2.76622,0,0,-3.10926,2.31824,-0.76654,0.36044,3.52478,2.26102,8230,SARVESH,-3.00924
5zi9,1.701169145,0.008094257,2.302161115,0.01466909,0,4E-05,0,6E-05,2.4623,49.60238,-14.63484,45.19266,-12.1725,7.1232,0,0,0.3919,50.92452,-1.47676,0.17706,-13.15808,45.22908,0,4E-05,0,6E-05,2.1684,11.8967,-5.5345,10.55754,-3.36612,3.28436,0,0,0.09798,12.73112,-1.47676,0.17706,-4.05774,10.59428,2445,VASAVI,2.07042
1oni,0.619301987,0.022845328,2.558638119,0.016676405,0,2E-05,0,6E-05,-10.42306,6.69286,9.24458,6.1608,-1.1785,2.01858,0,0,-7.14732,5.96396,-0.72334,0.3088,9.9679,6.38248,0,2E-05,0,6E-05,-5.06256,2.88118,1.64176,1.28956,-3.42082,2.26076,0,0,-1.78682,1.491,-0.72334,0.3088,2.3651,1.50042,3412,SHRUTI,-3.27574
2abb,0.047512955,0.001141379,1.258586164,0.005665421,0,0,0,6E-05,-6.8287,4.22296,6.03438,3.90668,-0.7943,1.79382,0,0,-3.40488,3.59158,-0.76706,0.28894,6.80144,4.11898,0,0,0,6E-05,-4.27502,2.21766,0.80122,0.79424,-3.47378,1.90302,0,0,-0.85122,0.8979,-0.76706,0.28894,1.5683,0.99362,2422,DIVYAK,-3.42378
4gwk,1.420305332,0.015576612,3.925240766,0.039941281,0,2E-05,0,8E-05,-20.16144,8.58042,20.14306,8.05316,-0.01836,2.00702,0,0,-16.86388,8.126,-1.03118,0.27328,21.17424,8.27126,0,2E-05,0,8E-05,-7.5135,3.3066,3.99528,1.73588,-3.51822,2.23904,0,0,-4.21598,2.0315,-1.03118,0.27328,5.02646,1.94964,1382,PRADEEP,-3.29752
1o4o,1.03758634,0.02187626,1.685305113,0.007580462,0,6E-05,0,8E-05,-16.43682,8.13032,14.5802,7.83086,-1.85662,2.47166,0,0,-13.15604,8.12144,-0.89514,0.38926,15.4753,8.05332,0,6E-05,0,8E-05,-6.5698,3.5304,2.78192,1.68246,-3.78786,2.9898,0,0,-3.289,2.03034,-0.89514,0.38926,3.67704,1.8905,2344,VASAVI,-3.28078
2yfb,1.118930845,0.012548806,2.298830977,0.025717644,0,8E-05,0,4E-05,-7.7858,5.94826,7.21594,5.05658,-0.56988,1.98442,0,0,-3.77564,4.0041,-0.80842,0.38174,8.02438,5.3686,0,8E-05,0,4E-05,-4.9541,3.49082,1.1123,0.97874,-3.8418,2.85468,0,0,-0.94392,1.00102,-0.80842,0.38174,1.9207,1.27464,2141,SUBHAJIT,-4.0102
5uav,0.548174504,0.019083809,3.590916399,0.01618193,0,4E-05,0,0.0001,-12.79496,8.53878,11.87602,7.79758,-0.91896,2.362,0,0,-9.07084,7.88836,-0.82866,0.3174,12.70466,8.01396,0,4E-05,0,0.0001,-5.99184,3.42714,2.14894,1.68588,-3.84288,2.5143,0,0,-2.26772,1.97208,-0.82866,0.3174,2.9776,1.89426,2358,VASAVI,-3.72412
4pg7,1.185617961,0.016978038,2.822697388,0.014736913,0,2E-05,0,2E-05,-70.55004,41.14624,66.89894,36.36604,-3.65108,6.46706,0,0,-68.59116,41.56634,-1.23072,0.31052,68.12968,36.564,0,2E-05,0,2E-05,-19.10666,10.35432,15.21814,8.45768,-3.88854,2.98752,0,0,-17.1478,10.39156,-1.23072,0.31052,16.44886,8.65366,8090,PRADEEP,-1.95888
1v7r,1.222355019,0.010509222,1.813545251,0.00872163,0,0,0,4E-05,-31.6903,8.95484,29.43456,8.08098,-2.25572,2.67142,0,0,-28.725,8.6777,-1.00936,0.24696,30.44396,8.24354,0,0,0,4E-05,-10.14656,3.33668,6.1572,1.77458,-3.98938,2.41366,0,0,-7.18126,2.16944,-1.00936,0.24696,7.16656,1.93036,4448,ROHIT,-2.9653
4foq,0.350024439,0.016901697,1.321258965,0.005103346,0,4E-05,0,6E-05,-28.85702,9.7185,27.54652,10.38868,-1.3105,3.62716,0,0,-24.53426,9.97242,-1.25134,0.23056,28.79786,10.53806,0,4E-05,0,6E-05,-10.45634,3.0692,5.60272,2.3386,-4.85362,2.1893,0,0,-6.13356,2.4931,-1.25134,0.23056,6.85404,2.48286,5330,ARIHANT,-4.32278
6gar,1.170680986,0.016375862,2.022181874,0.012395284,0,0,0,6E-05,-33.10196,11.0831,32.84476,10.03018,-0.25722,3.16748,0,0,-28.59374,11.42554,-1.48854,0.2463,34.33336,10.21542,0,0,0,6E-05,-11.65666,3.81752,6.6513,2.21446,-5.00536,2.82726,0,0,-7.14844,2.85638,-1.48854,0.2463,8.13988,2.3966,8518,PRADEEP,-4.50822
1icu,0.597316413,0.024082302,3.354579741,0.034327218,0,2E-05,0,4E-05,-13.50982,6.70506,11.10328,5.60704,-2.40656,2.28654,0,0,-8.79788,5.97534,-0.99626,0.32444,12.09952,5.82894,0,2E-05,0,4E-05,-6.91138,3.11448,1.90536,1.16764,-5.00602,2.61424,0,0,-2.19948,1.49384,-0.99626,0.32444,2.90162,1.37388,5554,ROHIT,-4.71194
2i16,2.283981817,0.021226696,1.212581298,0.004436652,0,4E-05,0,6E-05,-7.58232,3.8401,5.30704,3.4581,-2.27528,1.70686,0,0,-2.3443,3.13474,-0.78014,0.2456,6.08718,3.62776,0,4E-05,0,6E-05,-5.82406,2.13042,0.68294,0.6924,-5.14112,1.8729,0,0,-0.58606,0.78372,-0.78014,0.2456,1.46312,0.8506,7029,ROHIT,-5.238
2o1c,0.846437325,0.018834601,1.650351916,0.010499426,0,6E-05,0,6E-05,-43.63594,16.83862,47.96208,14.71688,4.32612,5.5838,0,0,-37.56356,18.71608,-1.78712,0.10898,49.7492,14.67734,0,6E-05,0,6E-05,-15.46326,3.8184,10.30886,3.38158,-5.1544,2.60612,0,0,-9.39088,4.679,-1.78712,0.10898,12.09598,3.34192,1600,SHRUTI,-6.07238
3s9k,1.531793904,0.010578961,5.630576186,0.051480474,0,8E-05,0,0,-25.36258,8.58838,24.13702,8.02406,-1.22554,3.13248,0,0,-20.56086,8.82392,-1.26896,0.26066,25.40598,8.15258,0,8E-05,0,0,-9.9419,3.34694,4.70196,1.78148,-5.23994,2.80716,0,0,-5.14024,2.20598,-1.26896,0.26066,5.97088,1.89758,8549,PRADEEP,-4.8017
1v5z,0.629097579,0.014668842,3.280095406,0.030859843,0,4E-05,0,4E-05,-14.3767,8.65608,12.33612,7.64368,-2.04056,2.4165,0,0,-9.01116,6.84502,-0.86056,0.41078,13.19672,7.93622,0,4E-05,0,4E-05,-7.61832,4.7692,2.31322,1.61428,-5.30512,3.86152,0,0,-2.2528,1.71128,-0.86056,0.41078,3.17376,1.8919,4267,PRADEEP,-5.36554
2gl0,0.918375588,0.025444984,3.578770154,0.043516874,0,4E-05,0,6E-05,-14.00562,9.7867,12.5367,8.36014,-1.46888,2.53412,0,0,-8.57328,8.02696,-1.10594,0.47536,13.64268,8.72934,0,4E-05,0,6E-05,-7.57562,4.6492,2.17788,1.7147,-5.39776,3.5983,0,0,-2.14332,2.00674,-1.10594,0.47536,3.28382,2.06914,7453,ROHIT,-5.43232
2fgu,1.13696461,0.020463701,2.205047123,0.022807428,0,2E-05,0,8E-05,-109.91826,25.04598,102.06338,21.71006,-7.8549,4.84204,0,0,-107.44352,26.62494,-1.17502,0.37604,103.23842,21.8641,0,2E-05,0,8E-05,-29.33566,5.95306,23.91046,5.01264,-5.42516,2.95422,0,0,-26.86088,6.65626,-1.17502,0.37604,25.08548,5.16534,10173,SUBHAJIT,-2.47476
2j27,0.976922021,0.019766258,1.502127262,0.005503044,0,4E-05,0,2E-05,-36.77282,10.55714,34.31736,9.6096,-2.45548,2.71596,0,0,-32.0532,10.8158,-1.277,0.2275,35.59436,9.78808,0,4E-05,0,2E-05,-12.73294,3.60764,7.17868,2.13496,-5.55422,2.45354,0,0,-8.0133,2.70396,-1.277,0.2275,8.45568,2.31212,1402,SHRUTI,-4.71964
4igf,1.312246746,0.026223626,1.465798517,0.005860001,0,2E-05,0,6E-05,-10.45026,4.0355,8.01552,3.89294,-2.43474,1.74212,0,0,-4.70768,3.95428,-0.84834,0.22646,8.86384,4.0289,0,2E-05,0,6E-05,-6.9195,2.02936,1.2686,0.82238,-5.65086,1.94652,0,0,-1.17692,0.9886,-0.84834,0.22646,2.117,0.94492,1395,PRADEEP,-5.74256
1jhv,0.070864526,0.001491541,1.695924059,0.013204558,0,4E-05,0,2E-05,-11.63734,4.8752,8.59016,3.8366,-3.04722,2.2579,0,0,-6.23972,4.47246,-1.11054,0.26886,9.70068,3.9691,0,4E-05,0,2E-05,-6.95758,2.62978,1.20964,0.83206,-5.74792,2.4399,0,0,-1.55994,1.11812,-1.11054,0.26886,2.32018,0.93834,7310,PRADEEP,-5.3976
3k1x,0.753223094,0.015672479,2.599353603,0.024587103,0,6E-05,0,4E-05,-33.75964,13.09652,31.48362,12.19794,-2.27604,3.12868,0,0,-28.59136,13.22732,-1.2317,0.25062,32.7153,12.33688,0,6E-05,0,4E-05,-12.3161,3.99,6.56026,2.75982,-5.75586,2.58556,0,0,-7.14784,3.30686,-1.2317,0.25062,7.79194,2.89316,1898,SHRUTI,-5.16826
2bet,1.464118777,0.008526436,2.31768863,0.024162818,0,2E-05,0,4E-05,-59.82276,11.83094,52.64522,11.04214,-7.17754,3.50658,0,0,-56.8686,12.92844,-1.51614,0.17722,54.16134,11.16292,0,2E-05,0,4E-05,-17.17132,4.03408,11.23818,2.49954,-5.9332,3.00374,0,0,-14.21716,3.23212,-1.51614,0.17722,12.75428,2.61854,2478,SARVESH,-2.9542
5k45,1.447187323,0.013980424,1.706300838,0.009876256,0,4E-05,0,6E-05,-133.74796,28.28864,125.11676,26.1354,-8.63116,5.25236,0,0,-131.32642,28.23926,-1.30844,0.24934,126.42518,26.25478,0,4E-05,0,6E-05,-35.25314,7.7026,29.28584,6.125,-5.9673,2.86204,0,0,-32.8316,7.05982,-1.30844,0.24934,30.59426,6.24396,4835,SARVESH,-2.42152
2fzm,0.065747317,0.00146443,4.900361254,0.03543924,0,0,0,0,-23.59814,4.57346,24.75134,5.21096,1.1532,3.11926,0,0,-16.66728,4.80248,-0.99916,0.04942,25.75052,5.22362,0,0,0,0,-11.09766,1.62936,5.10566,1.22992,-5.99198,1.469,0,0,-4.16682,1.20064,-0.99916,0.04942,6.10488,1.24288,1606,DIVYAK,-6.9308
2dtj,1.013459052,0.020682511,2.497010896,0.035605409,0,2E-05,0,4E-05,54.47038,18.03822,-59.7137,16.57298,-5.24334,4.35254,0,0,60.0473,18.76098,-1.32162,0.33266,-58.39208,16.57192,0,2E-05,0,4E-05,9.43486,5.05964,-15.48284,3.95128,-6.04796,3.4402,0,0,15.01184,4.69024,-1.32162,0.33266,-14.1612,3.93256,3463,ROHIT,-5.57698
4r5z,0.750918267,0.017406328,2.281217634,0.014906797,0,2E-05,0,6E-05,-37.37972,10.13528,34.68964,9.00916,-2.69006,3.69948,0,0,-32.34266,10.76876,-1.34738,0.176,36.03706,9.11578,0,2E-05,0,6E-05,-13.12272,3.39906,7.05238,2.0152,-6.07036,2.56304,0,0,-8.08566,2.69218,-1.34738,0.176,8.39976,2.11888,4455,PRADEEP,-5.03702
2aq6,1.208933589,0.018326385,1.52094417,0.008372765,0,8E-05,0,4E-05,-12.41358,5.21424,9.98138,4.73506,-2.43222,1.69968,0,0,-6.1221,4.72746,-0.917,0.24242,10.8984,4.88408,0,8E-05,0,4E-05,-7.82198,2.23312,1.66674,1.03454,-6.15524,1.74466,0,0,-1.53054,1.18188,-0.917,0.24242,2.5838,1.17546,6488,SHRUTI,-6.29146
1m7p,1.199959441,0.013059512,1.629434255,0.008946935,0,6E-05,0,4E-05,-26.1817,10.16066,25.0417,9.42958,-1.13998,2.8684,0,0,-20.27052,10.04904,-1.46178,0.30014,26.5035,9.6575,0,6E-05,0,4E-05,-10.97882,3.67702,4.79596,2.0411,-6.18284,2.81588,0,0,-5.06764,2.51226,-1.46178,0.30014,6.25772,2.2644,9105,PRADEEP,-5.91116
1oc3,0.659811524,0.026155827,1.277867733,0.0058129,0,0,0,4E-05,-7.49766,2.98852,4.27006,1.5973,-3.22756,2.49934,0,0,0,0,0.27894,0.33314,3.9911,1.8202,0,0,0,4E-05,-7.49766,2.98852,1.2699,0.29518,-6.22776,3.03104,0,0,0,0,0.27894,0.33314,0.99094,0.4344,6494,SHRUTI,-7.49766
9gaf,0.521703189,0.013655047,1.732925699,0.01442087,0,8E-05,0,4E-05,-105.3699,23.29034,93.35948,19.35466,-12.01042,5.981,0,0,-103.6077,23.96046,-1.19186,0.1712,94.55134,19.43098,0,8E-05,0,4E-05,-27.66412,5.96234,21.32086,4.51686,-6.34326,2.84162,0,0,-25.90194,5.99012,-1.19186,0.1712,22.5127,4.59386,2958,PRADEEP,-1.76216
1o4m,0.79205244,0.013457538,1.711611685,0.008881852,0,8E-05,0,2E-05,-36.21312,9.72556,32.00788,8.84496,-4.2052,2.91048,0,0,-31.05182,10.34042,-1.19382,0.17164,33.2017,8.95916,0,8E-05,0,2E-05,-12.92424,3.52454,6.54964,1.9925,-6.37462,2.7247,0,0,-7.76294,2.58512,-1.19382,0.17164,7.74344,2.1036,1908,SHRUTI,-5.1613
1jhx,0.059052307,0.001048862,1.668839404,0.008172946,0,6E-05,0,2E-05,-13.5207,3.85836,9.74442,3.49284,-3.77626,2.0474,0,0,-7.67278,3.71622,-1.24566,0.20676,10.9901,3.61886,0,6E-05,0,2E-05,-7.76612,2.16434,1.37274,0.743,-6.39334,2.02952,0,0,-1.91818,0.92906,-1.24566,0.20676,2.61844,0.8564,1405,SARVESH,-5.8479
3sbz,0.738317734,0.017138842,1.945133361,0.008193862,0,4E-05,0,4E-05,-161.56636,26.1688,140.23606,22.17876,-21.33028,6.63822,0,0,-165.00384,27.1649,-1.25054,0.08428,141.4866,22.21834,0,4E-05,0,4E-05,-37.8135,6.5822,31.38768,5.0573,-6.4258,2.91098,0,0,-41.25098,6.79124,-1.25054,0.08428,32.63824,5.09704,2986,PRADEEP,3.43746
2v41,0.691660782,0.021482155,2.0435368,0.01538252,0,6E-05,0,4E-05,-18.78038,5.13804,14.9098,4.93676,-3.87058,2.22028,0,0,-12.8734,5.53004,-1.05174,0.21796,15.9615,5.01594,0,6E-05,0,4E-05,-9.12532,2.17584,2.6927,1.10986,-6.43264,1.98064,0,0,-3.21836,1.38252,-1.05174,0.21796,3.74442,1.1773,5785,SARVESH,-5.90698
1qir,0.83204643,0.003525313,2.465227577,0.026034838,0,2E-05,0,2E-05,-26.40808,8.77536,24.78718,7.16888,-1.6209,3.6007,0,0,-20.24086,8.32334,-1.39518,0.19856,26.18236,7.28756,0,2E-05,0,2E-05,-11.22746,3.61524,4.77394,1.56704,-6.45356,2.90404,0,0,-5.06024,2.08086,-1.39518,0.19856,6.16908,1.67984,2575,DIVYAK,-6.16724
4jfp,1.479380175,0.011605828,1.864952412,0.010487594,0,4E-05,0,2E-05,-22.31968,11.54844,19.5506,9.78276,-2.76908,2.93108,0,0,-16.12648,10.82222,-1.23774,0.418,20.78834,10.07254,0,4E-05,0,2E-05,-10.22482,4.6362,3.74064,2.08182,-6.4842,3.53876,0,0,-4.03162,2.70554,-1.23774,0.418,4.9784,2.36064,5537,SARVESH,-6.1932
4k7n,0.082951189,0.001273949,1.242690943,0.006291294,0,8E-05,0,8E-05,-13.98136,5.95174,11.85532,5.34924,-2.126,2.68074,0,0,-7.39322,5.35212,-1.3287,0.29326,13.18404,5.48852,0,8E-05,0,8E-05,-8.43642,3.3111,1.8139,1.1642,-6.62252,3.03354,0,0,-1.84832,1.33804,-1.3287,0.29326,3.1426,1.28128,6250,SARVESH,-6.58814
5k4g,0.750124314,0.016174752,1.588716962,0.009416825,0,4E-05,0,8E-05,-37.78508,8.88276,34.36042,8.15294,-3.42466,3.0149,0,0,-32.09112,9.52828,-1.43386,0.18142,35.7943,8.24738,0,4E-05,0,8E-05,-13.71676,3.27228,7.03978,1.83734,-6.67698,2.61992,0,0,-8.02278,2.38206,-1.43386,0.18142,8.47366,1.9272,2849,ROHIT,-5.69396
4g86,0.167342703,0.002989354,3.933178372,0.035752266,0,0,0,6E-05,-11.03974,6.34698,7.99648,4.6236,-3.04324,2.9002,0,0,-4.14636,3.78478,-1.02646,0.39074,9.02296,4.91546,0,0,0,6E-05,-7.92992,4.2094,1.19886,0.92042,-6.73106,3.67882,0,0,-1.0366,0.9462,-1.02646,0.39074,2.22536,1.18912,2581,SARVESH,-6.89336
1x98,0.540136422,0.011204784,1.223014778,0.004091268,0,4E-05,0,2E-05,-18.62128,6.59192,14.85956,5.68084,-3.76174,2.06808,0,0,-12.26682,5.81042,-1.15564,0.27306,16.01522,5.8632,0,4E-05,0,2E-05,-9.42114,3.09558,2.68712,1.21168,-6.73402,2.46364,0,0,-3.06672,1.4526,-1.15564,0.27306,3.84276,1.38288,5989,PRADEEP,-6.35444
1ue0,0.479028081,0.018880718,1.484782687,0.004191975,0,2E-05,0,4E-05,31.62362,20.68954,-36.94946,14.9308,-5.32582,8.67216,0,0,38.91162,22.71422,-1.65948,0.11346,-35.28998,14.92066,0,2E-05,0,4E-05,2.43992,4.98868,-9.42968,3.37996,-6.98972,3.602,0,0,9.72788,5.67856,-1.65948,0.11346,-7.7702,3.36824,4336,SARVESH,-7.288
1pb1,1.134861352,0.012009455,2.455714151,0.020040368,0,4E-05,0,0,-63.28736,18.15168,59.8547,16.0754,-3.43268,4.22028,0,0,-57.76016,17.57866,-1.601,0.30914,61.45568,16.239,0,4E-05,0,0,-19.96722,5.89074,12.87776,3.62006,-7.08946,3.80834,0,0,-14.44002,4.39466,-1.601,0.30914,14.47874,3.7783,5887,SARVESH,-5.52718
3grj,0.742896559,0.028193429,1.558360897,0.004337945,0,6E-05,0,4E-05,-17.31924,8.28444,14.47942,6.92978,-2.83982,2.7527,0,0,-10.2469,7.17686,-1.25556,0.42724,15.73498,7.23244,0,6E-05,0,4E-05,-9.63404,4.2256,2.50664,1.42682,-7.1274,3.59328,0,0,-2.56172,1.79422,-1.25556,0.42724,3.76218,1.70502,7325,PRADEEP,-7.07236
5wsy,1.300282576,0.014568451,2.107084769,0.018311417,0,6E-05,0,6E-05,-26.65092,11.81456,23.6431,10.19972,-3.00784,3.76606,0,0,-19.94834,10.16584,-1.35396,0.39264,24.99708,10.49336,0,6E-05,0,6E-05,-11.68966,5.0879,4.55632,2.17828,-7.13332,3.7282,0,0,-4.98706,2.54146,-1.35396,0.39264,5.91028,2.46054,3068,DIVYAK,-6.70256
6asn,0.138717065,0.001342184,1.559776918,0.007826727,0,2E-05,0,6E-05,-31.8506,9.03784,28.35912,8.3061,-3.49148,2.81492,0,0,-25.42442,10.00594,-1.2958,0.0785,29.65492,8.32158,0,2E-05,0,6E-05,-12.78226,2.85246,5.6343,1.90548,-7.14796,2.42854,0,0,-6.3561,2.5015,-1.2958,0.0785,6.93012,1.91954,3567,VASAVI,-6.42616
